assetTypeNumber,assetNumber,reportingPeriodBeginningDate,reportingPeriodEndingDate,originatorName,originationDate,originalLoanAmount,originalLoanTerm,loanMaturityDate,originalInterestRatePercentage,interestCalculationTypeCode,originalInterestRateTypeCode,originalFirstPaymentDate,underwritingIndicator,gracePeriodNumber,paymentTypeCode,subvented,vehicleManufacturerName,vehicleModelName,vehicleNewUsedCode,vehicleModelYear,vehicleTypeCode,vehicleValueAmount,vehicleValueSourceCode,obligorCreditScoreType,obligorCreditScore,obligorIncomeVerificationLevelCode,obligorEmploymentVerificationCode,coObligorIndicator,paymentToIncomePercentage,obligorGeographicLocation,assetAddedIndicator,remainingTermToMaturityNumber,servicingAdvanceMethodCode,reportingPeriodBeginningLoanBalanceAmount,nextReportingPeriodPaymentAmountDue,reportingPeriodInterestRatePercentage,nextInterestRatePercentage,servicingFeePercentage,otherAssessedUncollectedServicerFeeAmount,scheduledInterestAmount,scheduledPrincipalAmount,otherPrincipalAdjustmentAmount,reportingPeriodActualEndBalanceAmount,reportingPeriodScheduledPaymentAmount,totalActualAmountPaid,actualInterestCollectedAmount,actualPrincipalCollectedAmount,actualOtherCollectedAmount,interestPaidThroughDate,currentDelinquencyStatus,primaryLoanServicerName,subvented.1,reportingPeriodModificationIndicator,modificationTypeCode,paymentExtendedNumber,servicingFlatFeeAmount,otherServicerFeeRetainedByServicer,servicerAdvancedAmount,zeroBalanceCode,assetSubjectDemandIndicator,repurchaseAmount,chargedoffPrincipalAmount,recoveredAmount,repossessedIndicator,repossessedProceedsAmount,originalInterestOnlyTermNumber,X..i..,modificationTypeCode.1,zeroBalanceEffectiveDate,originatorName_clean,originalInterestRatePercentage_clean,obligorGeographicLocation_clean,obligorCreditScore_clean,lender_state_n,paymentToIncomePercentage_clean,credit_score_cat,originalLoanTerm_char,loan_term_cat
SPONSOR,998989999995846784,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,08/2019,29019.59,76,11/2025,0.0687,1,1,09/2019,true,1,2,0,CHEVROLET,COLORADO,2,2017,2,29295,98,CREDIT BUREAU,735,2,2,false,0.137,VT,false,64,1,25878.59,478.37,0.0687,0.0687,0,0,147.87,329.13,0,25565.38,477.01,478.37,165.16,313.21,0,07-18-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.0687,VT,735,2,0.137,Super-Prime,76,73-78 months
SPONSOR,998989999995842944,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,08/2019,25855.84,76,01/2026,0.0664,1,1,09/2019,true,1,2,0,NISSAN,ROGUE,2,2017,3,17561,98,CREDIT BUREAU,769,2,2,true,0.0825,AL,false,66,1,23645.53,423.32,0.0664,0.0664,0,0,127.23,294.91,0,23346.61,422.15,423.32,124.4,298.92,0,07-28-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.0664,AL,769,2793,0.0825,Super-Prime,76,73-78 months
SPONSOR,998989999995824896,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,09/2019,28892.14,73,09/2025,0.0699,1,1,10/2019,true,1,2,0,MERCEDES-B,E CLASS,2,2014,1,22275,98,CREDIT BUREAU,767,2,2,true,0.1308,NC,false,62,1,25977.91,493.86,0.0699,0.0699,0,0,150.9,341.54,0,25613.04,492.44,493.86,128.99,364.87,0,07-18-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.0699,NC,767,3571,0.1308,Super-Prime,73,73-78 months
SPONSOR,998989999995805568,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,10/2019,31183.81,73,01/2026,0.0426,1,1,11/2019,true,1,2,0,TOYOTA,CAMRY,2,2019,1,29271,98,CREDIT BUREAU,602,2,2,false,0.1231,NC,false,66,1,29615.27,984.88,0.0426,0.0426,0,0,99.75,391.82,0,29615.27,491.57,0,0,0,0,06-26-2020,1,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.0426,NC,602,3571,0.1231,Fair,73,73-78 months
SPONSOR,998989999995787392,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,11/2019,21396.61,62,12/2024,0.0748,1,1,01/2020,true,2,2,0,TOYOTA,CAMRY,2,2018,1,19550,98,CREDIT BUREAU,734,2,2,true,0.0462,NC,false,53,1,19054.43,0,0.0748,0.0748,0,0,122.15,306.38,0,18788.21,428.54,429.78,163.56,266.22,0,07-31-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.0748,NC,734,3571,0.0462,Super-Prime,62,61-66 months
SPONSOR,998989999995794048,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,11/2019,28571.28,76,04/2026,0.0644,1,1,12/2019,true,1,2,0,TOYOTA,CAMRY,1,2019,1,25947,2,CREDIT BUREAU,606,2,2,false,0.1518,AL,false,69,1,27416.66,464.99,0.0644,0.0644,0,0,141.48,322.27,0,27081.85,463.75,464.99,130.18,334.81,0,07-24-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.0644,AL,606,2793,0.1518,Fair,76,73-78 months
SPONSOR,998989999995783424,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,11/2019,27616.52,76,02/2026,0.0989,1,1,12/2019,true,1,2,0,TOYOTA,RAV4,1,2019,3,28070,2,CREDIT BUREAU,586,2,2,false,0.1771,NC,false,67,1,25720.39,495.81,0.0989,0.0989,0,0,211.78,283.35,0,25433.08,495.14,495.81,208.5,287.31,0,07-25-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.0989,NC,586,3571,0.1771,Fair,76,73-78 months
SPONSOR,998989999995773312,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,12/2019,39597.01,73,03/2026,0.059,1,1,01/2020,true,1,2,1,TOYOTA,CAMRY,1,2020,1,28501,2,CREDIT BUREAU,580,2,2,false,0.1682,AL,false,68,1,37872.27,655.97,0.059,0.059,0,0,180.95,473.41,0,37872.27,654.36,655.97,655.97,0,0,07-02-2020,0,WORLD OMNI FINANCIAL CORP,2,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.059,AL,580,2793,0.1682,Fair,73,73-78 months
SPONSOR,998989999995769088,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,12/2019,34294,76,03/2026,0.1044,1,1,01/2020,true,1,2,0,TOYOTA,TACOMA TRD,1,2020,2,44726,2,CREDIT BUREAU,530,2,2,false,0.0482,SC,false,68,1,32421.57,627.13,0.1044,0.1044,0,0,280.96,343.49,0,32071.88,624.45,627.13,277.44,349.69,0,07-27-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.1044,SC,530,2196,0.0482,Deep Sub-Prime,76,73-78 months
SPONSOR,998989999995754496,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,01/2020,20168.81,61,01/2025,0.1289,1,1,02/2020,true,1,2,0,TOYOTA,COROLLA,1,2020,1,20995,2,CREDIT BUREAU,590,2,2,true,0.0288,SC,false,54,1,19036.05,460.22,0.1289,0.1289,0,0,203.41,254.35,0,18689.81,457.76,460.22,113.98,346.24,0,07-04-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.1289,SC,590,2196,0.0288,Fair,61,61-66 months
